word,phonetic,translation,bookId
lethal,/ˈliːθl/,adj. 致命的；致死的,TOEFL,0
converge,/kənˈvɜːdʒ/,v. 汇聚；集中,TOEFL,0
dissonance,/ˈdɪsənəns/,n. 不和谐；不一致,TOEFL,1
tangible,/ˈtændʒəbl/,adj. 有形的；可触摸的,TOEFL,0
distort,/dɪˈstɔːt/,v. 扭曲；歪曲,TOEFL,0
meticulous,/məˈtɪkjələs/,adj. 一丝不苟的；细致的,TOEFL,1
credible,/ˈkredəbl/,adj. 可信的；可靠的,TOEFL,0
augment,/ɔːɡˈment/,v. 增加；增大,TOEFL,0
verbose,/vɜːˈbəʊs/,adj. 冗长的；啰嗦的,TOEFL,0
intrinsic,/ɪnˈtrɪnsɪk/,adj. 内在的；固有的,TOEFL,0
