word,phonetic,translation,bookId
impact,/ˈɪmpækt/,n. 影响；冲击；v. 撞击,SENIOR_HIGH,0
appreciate,/əˈpriːʃieɪt/,v. 欣赏；感激；增值,SENIOR_HIGH,1
cope,/kəʊp/,v. 应对；处理,SENIOR_HIGH,0
innocent,/ˈɪnəsnt/,adj. 无辜的；天真的,SENIOR_HIGH,0
approach,/əˈprəʊtʃ/,v. 接近；n. 方法,SENIOR_HIGH,0
criticize,/ˈkrɪtɪsaɪz/,v. 批评；评论,SENIOR_HIGH,0
issue,/ˈɪʃuː/,n. 问题；发行；v. 发布,SENIOR_HIGH,0
attain,/əˈteɪn/,v. 达到；获得,SENIOR_HIGH,0
defend,/dɪˈfend/,v. 防御；辩护,SENIOR_HIGH,0
limitation,/ˌlɪmɪˈteɪʃn/,n. 限制；局限,SENIOR_HIGH,1
attract,/əˈtrækt/,v. 吸引；引起,SENIOR_HIGH,0
desperate,/ˈdespərət/,adj. 绝望的；拼命的,SENIOR_HIGH,0
maintain,/meɪnˈteɪn/,v. 维持；保养；坚持,SENIOR_HIGH,0
available,/əˈveɪləbl/,adj. 可用的；有效的,SENIOR_HIGH,0
domestic,/dəˈmestɪk/,adj. 国内的；家庭的,SENIOR_HIGH,0
motive,/ˈməʊtɪv/,n. 动机；目的,SENIOR_HIGH,0
bargain,/ˈbɑːɡɪn/,n. 便宜货；v. 讨价还价,SENIOR_HIGH,0
dominate,/ˈdɒmɪneɪt/,v. 支配；控制；占优势,SENIOR_HIGH,0
observe,/əbˈzɜːv/,v. 观察；遵守；庆祝,SENIOR_HIGH,0
barrier,/ˈbæriə/,n. 障碍；屏障,SENIOR_HIGH,0
enormous,/ɪˈnɔːməs/,adj. 巨大的；庞大的,SENIOR_HIGH,0
opponent,/əˈpəʊnənt/,n. 对手；反对者,SENIOR_HIGH,0
campaign,/kæmˈpeɪn/,n. 运动；战役；v. 参加运动,SENIOR_HIGH,0
essential,/ɪˈsenʃl/,adj. 本质的；必要的,SENIOR_HIGH,0
potential,/pəˈtenʃl/,adj. 潜在的；n. 潜力,SENIOR_HIGH,0
cautious,/ˈkɔːʃəs/,adj. 谨慎的；小心的,SENIOR_HIGH,0
eventually,/ɪˈventʃuəli/,adv. 最终；终于,SENIOR_HIGH,1
prejudice,/ˈpredʒudɪs/,n. 偏见；v. 使有偏见,SENIOR_HIGH,0
challenge,/ˈtʃælɪndʒ/,n. 挑战；v. 向……挑战,SENIOR_HIGH,0
exaggerate,/ɪɡˈzædʒəreɪt/,v. 夸张；夸大,SENIOR_HIGH,1
privilege,/ˈprɪvəlɪdʒ/,n. 特权；荣幸,SENIOR_HIGH,0
clarify,/ˈklærɪfaɪ/,v. 澄清；阐明,SENIOR_HIGH,0
existence,/ɪɡˈzɪstəns/,n. 存在；生存,SENIOR_HIGH,1
promote,/prəˈməʊt/,v. 促进；提升；推销,SENIOR_HIGH,0
complain,/kəmˈpleɪn/,v. 抱怨；投诉,SENIOR_HIGH,0
exploit,/ɪkˈsplɔɪt/,v. 开发；利用；剥削,SENIOR_HIGH,0
purchase,/ˈpɜːtʃəs/,v. 购买；n. 购买物,SENIOR_HIGH,0
concentrate,/ˈkɒnsntreɪt/,v. 集中；专心,SENIOR_HIGH,1
facility,/fəˈsɪləti/,n. 设施；设备；便利,SENIOR_HIGH,0
reasonable,/ˈriːznəbl/,adj. 合理的；公道的,SENIOR_HIGH,0
contribute,/kənˈtrɪbjuːt/,v. 贡献；捐献；投稿,SENIOR_HIGH,1
faith,/feɪθ/,n. 信仰；信任,SENIOR_HIGH,0
register,/ˈredʒɪstə/,v. 登记；注册,SENIOR_HIGH,0
convince,/kənˈvɪns/,v. 说服；使确信,SENIOR_HIGH,0
feature,/ˈfiːtʃə/,n. 特征；特色；v. 以……为特色,SENIOR_HIGH,0
sacrifice,/ˈsækrɪfaɪs/,v.&n. 牺牲；献祭,SENIOR_HIGH,0
cooperate,/kəʊˈɒpəreɪt/,v. 合作；协作,SENIOR_HIGH,0
fortune,/ˈfɔːtʃuːn/,n. 运气；财富,SENIOR_HIGH,0
strategy,/ˈstrætədʒi/,n. 策略；战略,SENIOR_HIGH,0
cope,/kəʊp/,v. 应对；处理,SENIOR_HIGH,0
harmony,/ˈhɑːməni/,n. 和谐；协调,SENIOR_HIGH,0
substitute,/ˈsʌbstɪtjuːt/,v.&n. 替代；替补,SENIOR_HIGH,1
crash,/kræʃ/,v. 碰撞；坠毁；崩溃,SENIOR_HIGH,0
innocent,/ˈɪnəsnt/,adj. 无辜的；天真的,SENIOR_HIGH,0
sufficient,/səˈfɪʃnt/,adj. 足够的；充分的,SENIOR_HIGH,1
debt,/det/,n. 债务；欠款,SENIOR_HIGH,0
leisure,/ˈleʒə/,n. 闲暇；休闲,SENIOR_HIGH,0
threaten,/ˈθretn/,v. 威胁；恐吓,SENIOR_HIGH,0
declare,/dɪˈkleə/,v. 宣布；声明,SENIOR_HIGH,0
mature,/məˈtʃʊə/,adj. 成熟的；v. 成熟,SENIOR_HIGH,0
transfer,/trænsˈfɜː/,v. 转移；调动；转让,SENIOR_HIGH,0
defend,/dɪˈfend/,v. 防御；辩护,SENIOR_HIGH,0
negotiate,/nɪˈɡəʊʃieɪt/,v. 谈判；协商,SENIOR_HIGH,0
transform,/trænsˈfɔːm/,v. 转变；改造,SENIOR_HIGH,0
desperate,/ˈdespərət/,adj. 绝望的；拼命的,SENIOR_HIGH,0
obtain,/əbˈteɪn/,v. 获得；得到,SENIOR_HIGH,0
unique,/juˈniːk/,adj. 独特的；唯一的,SENIOR_HIGH,0
domestic,/dəˈmestɪk/,adj. 国内的；家庭的,SENIOR_HIGH,0
occupy,/ˈɒkjupaɪ/,v. 占据；占领；使忙碌,SENIOR_HIGH,0
urgent,/ˈɜːdʒənt/,adj. 紧急的；迫切的,SENIOR_HIGH,0
dominate,/ˈdɒmɪneɪt/,v. 支配；控制；占优势,SENIOR_HIGH,0
observe,/əbˈzɜːv/,v. 观察；遵守；庆祝,SENIOR_HIGH,0
victim,/ˈvɪktɪm/,n. 受害者；牺牲品,SENIOR_HIGH,0
economy,/ɪˈkɒnəmi/,n. 经济；节约,SENIOR_HIGH,0
opponent,/əˈpəʊnənt/,n. 对手；反对者,SENIOR_HIGH,0
vital,/ˈvaɪtl/,adj. 至关重要的；有活力的,SENIOR_HIGH,0
emerge,/iˈmɜːdʒ/,v. 出现；浮现,SENIOR_HIGH,0
potential,/pəˈtenʃl/,adj. 潜在的；n. 潜力,SENIOR_HIGH,0
witness,/ˈwɪtnəs/,n. 目击者；v. 目睹,SENIOR_HIGH,0
enormous,/ɪˈnɔːməs/,adj. 巨大的；庞大的,SENIOR_HIGH,0
prejudice,/ˈpredʒudɪs/,n. 偏见；v. 使有偏见,SENIOR_HIGH,0
worthwhile,/ˌwɜːθˈwaɪl/,adj. 值得的,SENIOR_HIGH,1
equipment,/ɪˈkwɪpmənt/,n. 设备；装备,SENIOR_HIGH,1
privilege,/ˈprɪvəlɪdʒ/,n. 特权；荣幸,SENIOR_HIGH,0
yield,/jiːld/,v. 屈服；产出；n. 产量,SENIOR_HIGH,0
essential,/ɪˈsenʃl/,adj. 本质的；必要的,SENIOR_HIGH,0
promote,/prəˈməʊt/,v. 促进；提升；推销,SENIOR_HIGH,0
zone,/zəʊn/,n. 地区；区域；地带,SENIOR_HIGH,0
